epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,1640.34,1.11685,1.41275,1.18335,0.64425,0.54745,0.55287,0.4068,1.11925,1.3773,1.07691,0.00142184,0.00142184,0.00142184
148,1651.52,1.10599,1.36685,1.18331,0.67795,0.55203,0.5622,0.37887,1.3058,1.43986,1.15211,0.00141788,0.00141788,0.00141788
149,1662.59,1.13905,1.35725,1.19492,0.67313,0.59584,0.58418,0.39852,1.27097,1.3169,1.10852,0.00141392,0.00141392,0.00141392
150,1673.89,1.12348,1.38101,1.18641,0.65676,0.57424,0.56113,0.4129,1.10534,1.3095,1.0752,0.00140996,0.00140996,0.00140996
151,1685.02,1.15362,1.31508,1.18396,0.6685,0.53669,0.53264,0.36416,1.27346,1.42972,1.12377,0.001406,0.001406,0.001406
152,1696.67,1.14202,1.3764,1.20659,0.6479,0.57065,0.54819,0.34938,1.40178,1.43722,1.1656,0.00140204,0.00140204,0.00140204
153,1708.37,1.0972,1.36172,1.18378,0.67047,0.57065,0.56479,0.4119,1.10524,1.31354,1.078,0.00139808,0.00139808,0.00139808
154,1720.02,1.12919,1.31749,1.17292,0.61022,0.6046,0.53505,0.34535,1.33419,1.52016,1.14759,0.00139412,0.00139412,0.00139412
155,1731.35,1.10966,1.3391,1.18636,0.68041,0.56407,0.58177,0.32793,1.66533,1.35856,1.27266,0.00139016,0.00139016,0.00139016
156,1742.89,1.13776,1.38788,1.2049,0.65373,0.59255,0.58959,0.38199,1.34464,1.3086,1.14928,0.0013862,0.0013862,0.0013862
157,1753.89,1.11965,1.362,1.18519,0.69506,0.57393,0.58351,0.38817,1.31352,1.34596,1.13785,0.00138224,0.00138224,0.00138224
158,1764.88,1.08848,1.32385,1.17258,0.6516,0.56517,0.56326,0.32582,1.59853,1.41785,1.2419,0.00137828,0.00137828,0.00137828
159,1775.89,1.12525,1.34054,1.1954,0.67296,0.5567,0.56539,0.37593,1.33854,1.38088,1.1662,0.00137432,0.00137432,0.00137432
160,1787.15,1.14461,1.37456,1.20478,0.65719,0.59002,0.55985,0.41557,1.07125,1.34551,1.07283,0.00137036,0.00137036,0.00137036
161,1798.38,1.14223,1.34249,1.20792,0.65474,0.57941,0.55854,0.35149,1.44764,1.37546,1.18077,0.0013664,0.0013664,0.0013664
162,1809.85,1.09668,1.2907,1.17678,0.71917,0.53998,0.5886,0.42087,1.18031,1.32387,1.10651,0.00136244,0.00136244,0.00136244
163,1820.87,1.1322,1.40581,1.20145,0.68904,0.57503,0.5906,0.39733,1.31154,1.31178,1.1336,0.00135848,0.00135848,0.00135848
164,1831.88,1.12573,1.44042,1.19963,0.66338,0.58379,0.57827,0.39069,1.27098,1.34501,1.1235,0.00135452,0.00135452,0.00135452
165,1842.9,1.11372,1.37235,1.20737,0.6597,0.59912,0.58816,0.39157,1.30153,1.33951,1.13114,0.00135056,0.00135056,0.00135056
166,1853.99,1.09986,1.31896,1.18802,0.67695,0.59584,0.5855,0.40579,1.24918,1.31371,1.1205,0.0013466,0.0013466,0.0013466
167,1865.39,1.07015,1.30438,1.15974,0.70274,0.56407,0.59423,0.43132,1.16649,1.26555,1.09921,0.00134264,0.00134264,0.00134264
168,1876.63,1.11684,1.30819,1.17319,0.6953,0.54874,0.58425,0.40548,1.25943,1.34087,1.14025,0.00133868,0.00133868,0.00133868
169,1888.17,1.09141,1.33366,1.16585,0.67354,0.58075,0.58422,0.40923,1.21304,1.30287,1.11372,0.00133472,0.00133472,0.00133472
170,1899.67,1.11551,1.33057,1.18667,0.68367,0.5805,0.57768,0.39769,1.2726,1.30772,1.1397,0.00133076,0.00133076,0.00133076
171,1911.26,1.09705,1.35068,1.19026,0.68573,0.58708,0.59656,0.41858,1.21226,1.27431,1.10765,0.0013268,0.0013268,0.0013268
172,1923.26,1.07647,1.33114,1.1549,0.67953,0.5816,0.58012,0.38405,1.31971,1.32051,1.14345,0.00132284,0.00132284,0.00132284
173,1935.02,1.10588,1.3088,1.18511,0.65457,0.60898,0.58717,0.44131,1.06601,1.28848,1.06836,0.00131888,0.00131888,0.00131888
174,1946.85,1.07049,1.31265,1.15931,0.67577,0.57503,0.56626,0.36685,1.29508,1.32904,1.12792,0.00131492,0.00131492,0.00131492
175,1958.61,1.12311,1.33233,1.18044,0.68356,0.57494,0.59064,0.39372,1.30713,1.28172,1.14156,0.00131096,0.00131096,0.00131096
176,1970.44,1.09713,1.37211,1.18455,0.66235,0.59036,0.57328,0.34096,1.55084,1.42117,1.21704,0.001307,0.001307,0.001307
177,1982.23,1.1411,1.38245,1.19043,0.67788,0.5578,0.57309,0.35963,1.4488,1.33327,1.17706,0.00130304,0.00130304,0.00130304
178,1994.02,1.10425,1.29796,1.17465,0.66177,0.56574,0.565,0.41893,1.10827,1.3096,1.08129,0.00129908,0.00129908,0.00129908
179,2005.87,1.12236,1.38475,1.19388,0.70248,0.57174,0.59437,0.41546,1.21944,1.25662,1.09222,0.00129512,0.00129512,0.00129512
180,2017.63,1.08772,1.28296,1.16891,0.69732,0.55513,0.587,0.40106,1.23026,1.36776,1.10051,0.00129116,0.00129116,0.00129116
181,2029.39,1.12202,1.35655,1.19145,0.70188,0.53894,0.58329,0.34038,1.57758,1.38389,1.22538,0.0012872,0.0012872,0.0012872
